baseMean log2FoldChange lfcSE pvalue padj
CNOT3 77.7797064407772 -0.34870954666153 0.265238797062932 0.150750314946552 0.288068795082276
PRPF31.AS1 2.51275195456477 -1.01963379672731 0.915456216711138 0.0512504654005288 0.130416931334096
PRPF31 20.1655643295954 -0.245045164064411 0.496902769440748 0.482087169744376 0.640186460848664
TFPT 3.91827372076464 -0.316967771229847 0.565357590073093 0.382766498877228 0.5501447564228
OSCAR 42.6145121714629 -0.311429794613885 0.526099044200913 0.37411367745652 0.541503788172301
VSTM1 5.55377301498892 -0.420728763409036 0.612083685495099 0.245521861018036 0.407558564135872
HLA.DRA 631.385866598798 0.0443406505274485 0.532294479979531 0.900417981451121 0.942225348119939
ZBTB9 7.73144619211162 -0.30818227244573 0.419453612379271 0.36091950048802 0.528829831258511
SYNGAP1 58.7429302160173 -0.546039697313736 0.25095351679202 0.0188973828624316 0.0603028147917792
PHF1 407.411535362799 -0.414181234358816 0.393601441975865 0.195915430609158 0.347654475972193
KIFC1 1.1149745049232 0.125744064454895 0.623102901574664 0.649823721408195 0.775461036977399
VPS52 12.5541081398203 0.478625178656651 0.528615252082848 0.209454414351526 0.364316366182915
HLA.DPA2 1.79982571874254 0.401863006467082 0.626022837172504 0.277265704162272 0.443001010333669
RPL32P1 51.834924647682 -0.374974204711826 0.506831951182391 0.289480143202175 0.455431078422318
HLA.DPB1 2902.79576832687 -0.374768655541411 0.457209864025266 0.276158984495677 0.441527826864065
HLA.DPA1 8.45121723203674 -1.28574674539036 0.67534081564896 0.00796579948824051 0.0308121435298761
HLA.DOA 31.703565417287 -0.29638259671419 0.53712688603822 0.394659706819188 0.561429627178623
BRD2 342.996600980956 -1.11811594952424 0.376928716851735 0.000599689840839388 0.0037522665427678
HLA.DMA 121.905987570859 -0.264268011617019 0.629498063820488 0.393380947356274 0.560339736193827
HLA.DMB 5.18296592548772 -0.272133814428578 0.429456359113694 0.420947578833325 0.586294577051369
PSMB9 0.985642596680277 0.409313857904404 0.75164436223382 0.182994059589322 0.330766112504486
TAP1 1.26609641644582 -2.26088513274569 1.12145575134535 0.614322660497482 0.748499247829012
TAP2 136.886013205355 0.0314529361757836 0.549276913462396 0.926714111718216 0.957458596899038
HLA.DOB 16.3983663681545 0.154389479950166 0.500620430171893 0.660061761050932 0.783230326766305
HLA.DQB1 2207.67538350959 -0.777903025293539 0.48543861959499 0.0338812476667854 0.0951843766198771
HLA.DQA1 525.968385453114 -0.0834392073579393 0.533445540079639 0.797183106340999 0.879099281604572
HLA.DRB1 3386.60102638092 -0.155081826228434 0.604185542964057 0.595635677018839 0.734242298899682
HLA.DRB7 4.44142168302678 -0.078047021836783 0.536550312732383 0.813129371101706 0.890077824505582
PRKRAP1 3.57547714957283 -0.119971302427635 0.50658163572344 0.722364552298672 0.828645914700051
HLA.DRB4 14.9987010347053 0.298321815776598 0.433940826006436 0.383223570480124 0.550534478764389
GPSM3 140.214628260222 -0.0870407256689011 0.626441754262173 0.727781014588461 0.832152120341681
PBX2 28.5363076003527 -0.113275168301249 0.504417367872414 0.736543978482327 0.838881190809098
AGER 7.06838232478733 2.30172294169733 0.964532008306292 0.00165958772735212 0.00866537064613617
AGPAT1 18.5067534571914 -0.132514084152152 0.614202250065314 0.636570006748287 0.765200059797166
STK19 2.75429590613479 -0.222845385309085 0.663527728754033 0.405563141387112 0.571953386466588
DXO 16.919940363288 -0.23574326959221 0.514762354380427 0.500028539615763 0.656499833764521
SKIV2L 21.2086298089557 0.44799396983722 0.347956571818356 0.141148947325707 0.275149200752083
NELFE 6.84977628650537 -0.870280674687276 0.574889694051453 0.0364085945169904 0.100576787127931
EHMT2 1.59683710456683 0.140630707647656 0.633004105937553 0.606081891638132 0.742513999159027
VARS1 3.06576079249525 -0.870004024383238 0.721001533001083 0.0624781957622909 0.151588746217703
LY6G6E 1.21836603953379 -0.0946700389431856 0.574371794615476 0.768923098845426 0.859636757195535
LY6G5B 20.3825367794478 -0.515108037310773 0.88562072976962 0.0697586548583472 0.164233623744454
CSNK2B 13.0700692338861 -0.229871641886346 0.694949944478062 0.287664692935077 0.453615516225234
GPANK1 8.64187060829807 3.10516513415682 0.614078056107964 4.55642222898211e-08 1.18024292381525e-06
C6orf47 9.40116695215954 2.42538296339921 1.85700036705961 0.00927438159148415 0.0346473906960059
BAG6 11.1249628610849 -0.0940270100533243 0.437030093477212 0.777982657430418 0.865692312146577
PRRC2A 78.0696588796934 0.376755630926338 0.444281700409368 0.282761168661135 0.448633766548351
AIF1 25.7170057549244 0.970403953829679 0.80466529060139 0.0485171525388082 0.124977258018549
NCR3 7.18001095997821 -1.3654963942363 0.857424294734176 0.0120019285962366 0.0423545057257345
LST1 23.9193262872862 -0.614583732031125 0.568629113658015 0.108003479967678 0.226546794113547
LTB 3.08056224911143 0.235271911355627 0.71099430914847 0.251451448345251 0.414129999162183
TNF 0.823247231022616 0.131732853615023 0.647153967170919 0.590702491123534 0.730881083306509
LTA 13.0112615125744 -0.77074817171342 0.755050517934623 0.0661529537878907 0.157972242021941
NFKBIL1 2.68548620285222 -0.448143493452967 0.78441538937319 0.124100881277377 0.250794367395639
ATP6V1G2 1.27980386914571 0.212239315870073 0.622260474604229 0.479690735010548 0.638244711143606
MICB 10.2085669215174 0.266632824741474 0.552679977303946 0.455072888624399 0.616215762843395
MICB.DT 5.28925939729541 0.208960695567147 0.566561214998662 0.540450532867842 0.69059147522104
HCG26 21.3446647839403 -0.529903111574752 0.668095661745035 0.159199490804193 0.298991924277301
HCP5 8.51203660130578 0.0439065419338208 0.448683834898958 0.896730843541767 0.940300719531397
MICA 51.1786365114637 0.0728463309335432 0.37469938664763 0.818155222671192 0.893208962698507
MICA.AS1 19.9624249188808 -0.722604662457599 0.356813237012959 0.0193607545769494 0.0615657914998208
HLA.B 43545.5039107962 -0.368747576867824 0.263285227204571 0.125690941384675 0.253095271304391
RPL3P2 28.1812191564129 -0.401794278351624 0.56770152622716 0.266578978519729 0.430917704082865
USP8P1 0.965534135743113 -0.131578461226003 0.612085910449487 0.640951374469351 0.768528737554696
HLA.C 30196.9981759091 -0.071371702699321 0.351945978402777 0.808624548177513 0.886433830028421
HCG27 26.8599839405343 -0.189275426559026 0.477143335832252 0.579087182320622 0.722108372113474
PSORS1C3 1.77255356379562 0.286822497896344 0.650866073218736 0.352294818819059 0.519939872343365
POU5F1 1.92542549540287 0.409428199811066 0.689815188748609 0.243667197498883 0.405376476046007
TCF19 4.71544385082483 0.151554256617682 0.606476001336667 0.620051653934345 0.75244598654808
LINC00243 2.76764127303564 -0.564417520682637 0.643463498224097 0.165259210959237 0.307271378635043
IER3 1.72779987910018 -0.343997196305657 0.768289831377685 0.103329260925167 0.219256920228481
FLOT1 37.0921791764603 0.376579128445108 0.330615531338533 0.19349394000958 0.344560113748427
TUBB 20.3231817610515 -0.131279109633468 0.625089102005842 0.62297001678968 0.754746692504586
MDC1 10.9335859933279 -0.700483633889598 0.405789845439132 0.0398021448550451 0.107759070070712
DHX16 6.00899489712102 -0.111306053094406 0.396395518505449 0.729241807590179 0.833255861471619
C6orf136 10.5687655561943 -0.0396633075246102 0.369255516237207 0.897820148529735 0.940951907630216
MRPS18B 2.65274035001897 0.416599039855527 0.653860474568365 0.254570599899053 0.417699073475915
PPP1R10 1.84733941865356 0.326458065003391 0.624915212886269 0.339435716531754 0.507331895454789
PRR3 5.12898295035488 -0.645921159607865 0.518152316299492 0.0999232226730854 0.213645133895256
GNL1 2.73435385408012 -0.120501048895605 0.55144735933253 0.708944857209767 0.819560854409781
HLA.E 4.12545813172713 -0.0597684822659698 0.479818208498708 0.859212086624526 0.918640957612093
HCG18 24.1328461703459 -0.0149062459409013 0.492403485372578 0.963183357387449 0.979765240982896
HLA.L 11.3249069016173 -0.807194489470853 0.967259388581887 0.0540568579918649 0.135815388164845
TRIM26 13.5194036673865 -0.0252232846329248 0.315410672449534 0.927645252951109 0.957950627345252
TRIM10 2.06415401619206 0.0344568036039488 0.580916672089586 0.911879010721262 0.948722168771152
RNF39 1.99780807494329 0.0178283938109111 0.66278806172965 0.908241728557901 0.946424245459143
HLA.J 1.37843247118193 -0.233916503012188 0.630957891636173 0.408017330646272 0.573691901882048
HCG4P3 0.895408249565627 -0.218627002716182 0.65489486385886 0.468489041253305 0.627887899698366
ZNRD1ASP 2.51867679282819 -0.0682078998159099 0.549466721358351 0.833678225906648 0.902865176887438
MICD 1.61898477809831 -0.0816577913771756 0.585418849191282 0.78987021786139 0.874469170146641
HLA.A 6835.39278868614 -0.0864543493147803 0.38927340483091 0.780538348805018 0.86760877473944
HLA.K 82.5586521760919 -0.37102748271532 0.445017028068714 0.275313937157415 0.4408586432086
HCG4B 4.42737755767333 0.0529479353280118 0.499550034750128 0.87674463130557 0.928787669215601
HLA.H 135.428983797421 -0.00135345311381767 0.560111478785329 0.992681155327763 0.995683659116695
IFITM4P 0.804825398670298 -0.291989611983952 0.69662355313237 0.280658673402857 0.446691898509993
MICE 37.4974265962954 -0.861076587002904 0.466763019414495 0.0193108925619218 0.0614519262283455
HLA.F.AS1 37.6092700938125 -0.323197054529411 0.651231364573681 0.311316022349065 0.477663238214371
HLA.F 527.641517080164 -1.30659944927527 0.591483203092063 0.00314034723908549 0.0145824705481918
ZFP57 2.44813011406876 0.63316404662604 0.956527556259043 0.0868902570262524 0.193067872660629
GABBR1 138.984404049111 -0.943101968362103 0.3695560485114 0.00292284670682451 0.0137536105692203
TRIM27 1.15596295437484 0.0846092809389505 0.608113977267017 0.76268223791299 0.855669542479016
SMBD1P 97.1414732799793 0.892573444818499 0.32483284644096 0.00237746652625647 0.0116173833699193
MUC20 1.83129754660903 -0.0796014790653623 0.545652048429096 0.813048494950888 0.890033858926259
MUC4 0.892458733712521 0.325828909166292 0.658642415021088 0.319424274131313 0.486143106438606
DAXX 4.13224346812213 0.646617289160467 0.65821226272409 0.122601433529814 0.248752903928426
TAPBP 35.4101113500291 0.0880757413303851 0.349374341276912 0.770503766419306 0.860216185346689
RGL2 15.8760427930607 -0.542859061647896 0.362117559411931 0.0783713711057306 0.179239974381576
WDR46 10.612639315654 -0.162665936317835 0.588189819483082 0.603948693850551 0.740533133705213
RING1 6.6355510022407 0.142778305213194 0.533874191679509 0.677473346140024 0.795815501225791
RXRB 16.6020118159594 -0.375970556975197 0.39596010412375 0.251094018178395 0.413733601553819
HLA.DRB2 1.93039553387278 -0.0547319841196462 0.581981285636852 0.853857766904439 0.915927745715051
HLA.DRB3 930.787156076704 -0.529520815290433 0.895609593652077 0.067093616187558 0.159625708683469
SNHG32 1.34186268300978 0.0369472365131572 0.569410877027117 0.906592728277934 0.94547040205988
HSPA1B 1.23756829753342 -0.00671880549324917 0.593475987373217 0.981700628470617 0.989253590520115
HSPA1A 2.36864465468078 -0.00159692248497766 0.656469920318463 0.990897197640264 0.994691077169087
HSPA1L 1.13165231321329 -0.283581654622577 0.755753541164457 0.152715196000271 0.290722711159693
CCHCR1 18.6293645819749 -0.402181715836859 0.555227850862804 0.268587744006342 0.432809221685782
VARS2 37.9564480451337 0.0976557138868132 0.505691724018794 0.778192489383309 0.865794522668642
GTF2H4 18.0048934130826 -0.0797123423954238 0.495590410496975 0.812984995477641 0.890008911924496
DDR1 15.4047447956538 0.271709041193508 0.410962787319277 0.414576912717502 0.579840091218094
PPP1R18 3.1612060451936 -0.370438869495966 0.596232554607041 0.304060826990185 0.470353226197588
HLA.W 3.71069311752995 0.270998808939164 0.524757336032335 0.444278125019433 0.606747149498678
HLA.DQB1.AS1 98.2784240404317 -0.446004019100999 0.488768995656741 0.207653605910716 0.362163791976073
ATF6B 43.4026966155574 -0.0323274833802917 0.585185110047778 0.910405699825104 0.947685430415028
TCF20 58.014107455293 1.46326419979024 0.382824965678021 2.62730501052655e-05 0.000275614885509268
CYP2D8P 1.41443129481885 1.24624368764891 1.49883423891863 0.0243488140871224 0.0736970474280313
CYP2D7 21.9708608031076 -0.507531105242132 0.383994709921149 0.113863080803033 0.235615207999613
CYP2D6 9.71287501812416 0.205499602393601 0.570810813422753 0.547655089535201 0.696297503193869
NDUFA6.DT 1.91744482155736 -0.0500430868372403 0.565111543478443 0.875465688344959 0.928057341529281
SMDT1 3.76498734835525 -0.220628068604493 0.4877702315755 0.529596499252588 0.681782985906258
PHETA2 13.626514966202 0.0148861972587306 0.330699484987491 0.959495169901651 0.977514488298145
MUC6 3.44277170843886 1.11439401840326 0.786718263840603 0.0271403577596731 0.0802681955278645
AP2A2 116.01683674903 -0.077696209158648 0.256782919948372 0.743430241574276 0.843375891911722
CLN8 3.71281657589931 -0.0165019788305709 0.509637086861625 0.959768979305579 0.977565664628148
RPS7P11 4.40755390510377 0.127407123221838 0.462076229324155 0.710266115160009 0.820411636605175
NSF 4.32109154635449 0.0484377018451901 0.537945221096795 0.884033269741457 0.932791551280193
RN7SL199P 0.8448919301131 -0.0726921104921358 0.604880895482114 0.802979143608297 0.883129232544723
LRRC37A2 182.564650532347 0.687386884487588 0.303517013061421 0.0124126523784315 0.0434810777595367
ARL17A 32.9388454723294 0.211596422626595 0.371963603018987 0.499980139397783 0.656499833764521
RDM1P2 7.08755721048684 1.18496525464167 0.877607261090223 0.0273291067986516 0.0807172295098785
KANSL1 63.2180091278646 -0.467518714573358 0.239127283774181 0.0349243514623927 0.097511643891549
MAPT 0.937044877988832 0.322425174446274 0.691334260618193 0.266129069292901 0.430524915856253
ARF2P 1.32175882944201 0.00399747903675054 0.574838832855971 0.990908544202281 0.994691077169087
LINC02210 1.10558590148445 -0.426117649107529 0.721765472127102 0.226792622132673 0.385855218175819
RPS26P8 1.41418507239104 -0.161039905880948 0.587940922571653 0.618154506833655 0.751437665616595
LRRC37A4P 2.36938417950294 0.186461267065429 0.549738776903573 0.586856180277228 0.728192298448664
LRRC37A3 31.9650226350102 -0.119242543246258 0.289177918860733 0.646233833083951 0.772568713232424
PLEKHM1 13.5127796732995 -0.169326240926093 0.371102773990014 0.584804332711848 0.726883019648936
ARHGAP27 98.2988188552165 0.0568828430346377 0.274702554800163 0.821399285051359 0.894896267186729
CCL4L1 29.9391095698587 -0.51114635213301 0.685331505011267 0.164987375193721 0.307027068137992
CCL3L1 57.4020124458105 -0.222079124531909 0.626843285327317 0.45548878639886 0.616549801761617
CCL3P1 49.5990728571103 -0.496342490575909 0.805232443955459 0.118739542480885 0.243060288175759
TBC1D3G 4.25555216023393 -0.42487687758127 0.546661291738904 0.249940520593395 0.412515322608772
CCL4 7.18217741587782 -2.12165726923654 1.02635421725216 0.00255387842730852 0.012292578198551
CCL3 1.16460127308419 -0.404820332025813 0.794624756480525 0.159660736704635 0.299665438344499
ABR 340.64869603673 1.55131616822365 0.336522190032769 7.89300204633538e-07 1.36949849791257e-05
NXN 13.682656898358 1.26733201252941 0.385402208165572 0.000230274800431449 0.00169503962526341
RPH3AL 6.68066140164435 0.500073072121701 0.4930722330445 0.178233398069158 0.324441178067272
FMN1 202.118726626275 1.58743919276593 0.444986665973164 6.49378784611243e-05 0.00059005482083005
ARHGAP11A 1.46382937241312 0.116068971581241 0.581684744192062 0.715184501554824 0.823650822999082
GOLGA8N 61.3687911398788 -1.64029513916295 0.337162967161274 1.25388559234824e-07 2.85249186471562e-06
LINC02256 27.76871457166 -1.05175341767387 0.428494281933528 0.0033383888939772 0.0152973921609997
WHAMMP1 113.481719715006 -0.0236699403051001 0.352283897305608 0.935750166388282 0.96265446979345
OTUD7A 11.4305147064473 0.379123237408272 0.439600011625952 0.280903046473089 0.446885635423859
KLF13 973.8932881393 -0.17705776008687 0.15879706776563 0.249888886264712 0.412462878936892
LINC03034 1.30060861779422 -0.312266254545933 0.658153860057364 0.341255670180782 0.509077547696503
LINC02352 5.40045684632877 -0.447642361729029 0.480939480479827 0.217881142352234 0.374664472169365
FAN1 45.1701948295358 0.242447401982453 0.19125845574908 0.184144889536639 0.332379093052344
ARHGAP11B 2.85623060812156 0.911395646262588 0.865005335669762 0.0554788376336194 0.138330103597877
GOLGA8H 12.4746473979834 0.0517883169002502 0.353716749469632 0.863352955635651 0.920925014646638
ARHGAP11B.DT 6.61318741117109 0.625393996666549 0.547763125701258 0.109660464269161 0.229109047195375
GOLGA8R 6.89279571409271 0.0393609592187681 0.534861831827741 0.905425559858979 0.945023484901741
MPHOSPH10P3 1.56670383534208 0.209770588621198 0.577831172552014 0.533663361113999 0.685001667489094
GOLGA8Q 16.048980773081 -1.36640328500494 0.524143132923683 0.00135577934977214 0.00734027938205013
ULK4P2 4.11693753845022 1.06288703201453 0.659847492800008 0.0195100257575258 0.0619323628736793
CHRFAM7A 6.59180855134384 -0.127687984089778 0.500769611316854 0.701266977037217 0.813795777482224
GOLGA8J 1.14871301293365 -0.259599805389476 0.661222792187476 0.311326661847799 0.477663238214371
HMGN2P5 1.08403648403421 -0.089213642528072 0.617692038543763 0.750200819444 0.847615656563757
FAM189A1 2.55007562997455 0.621858545141022 0.709650715183423 0.133605807807055 0.264425019044912
APBA2 93.3049632375379 -0.161686852453975 0.32056682111012 0.566566042434881 0.712181854859209
PDCD6IPP2 10.1376075627085 -0.91264444873098 0.625335120583711 0.546692190915878 0.695647103279402
WHAMMP2 5.76896297745183 0.440393170615558 0.668497697921646 0.235046384279177 0.395469356770412
RPL41P2 15.1097042822712 0.138854569742169 0.337155772047781 0.636494006812977 0.765150774053959
HERC2 416.940294977876 0.312760388104299 0.202497965970526 0.1062903171108 0.223800338310344
OCA2 1.04666659443613 -0.264127259106813 0.661080768905342 0.345185866910009 0.512910583999634
TUBGCP5 50.4765154111234 0.0118795691990053 0.304202476347329 0.966373047264763 0.980955915833322
SMIM10L1 128.119577910096 -0.319817741266687 0.274865587971778 0.199950427065588 0.352553934713113
TAS2R18P 19.969423624485 2.83317029974276 0.725606900466954 1.03484464121152e-05 0.00012478639573175
TAS2R30 8.82980810523612 4.6696282663759 1.61908175726479 0.000346730666853849 0.00236144107126444
TAS2R68P 15.8811436014474 2.29132369544705 0.635643745519404 3.56522024650164e-05 0.000356065989168656
TAS2R46 2.73106397232936 2.89434794401514 1.82616574898523 0.00642883163043672 0.0259216372380316
TAS2R63P 6.06859044000178 0.657188078194797 1.1161677170119 0.0448492440352587 0.117953211177644
TAS2R31 5.81465073771569 1.74274536017557 0.866149786086227 0.00478134044339189 0.0205080762749526
TAS2R19 2.33184255178058 1.19192102658275 1.0540936252769 0.0294095781408175 0.0855217075438351
TAS2R20 1.83980888132403 0.610762906257177 0.778707815952586 0.123123766217637 0.249365238734987
IFITM10 71.0424694672675 2.2417136303545 0.393789756832183 1.54972899595702e-09 6.50291272737283e-08
DUSP8 18.5303439066838 -1.24810566436516 1.04801835346214 0.0167086363012488 0.0548392443804087
FAM20C 337.794645682425 2.42965926393112 0.464209141916459 2.22576794229635e-08 6.31125016270854e-07
SUDS3P1 2.00712314830157 0.323334279858218 0.591266074488718 0.354525465690869 0.522183557905641
MCCC2 283.52696482042 0.30036110253883 0.197923225072389 0.112004114408066 0.232737757740627
BDP1 37.567668671083 -0.2612347699345 0.26319975888543 0.278683804040063 0.444487146999625
GUSBP17 6.54821955570478 1.14626937633416 0.67520391448324 0.0171451695181467 0.0559360835704705
GUSBP9 4.70564323954317 1.4913878315495 0.963648853769858 0.0135139524760279 0.0465116544444146
NAIPP4 11.3995705252347 1.34707506206232 0.487362288578683 0.00103073723514162 0.00588047427835756
GTF2H2 3.41892941312513 -0.0659471277780067 0.676896150330964 0.537811680396812 0.688244480472274
NAIP 9.42892850149173 0.00193101517839616 0.463504069755443 0.996493106617378 0.997999193977986
SMN1 4.60254940081289 0.0163954290967486 0.432932077902824 0.961484061708031 0.97862863993021
SERF1A 3.94849697602504 -0.308707279909093 0.59066105633518 0.378704865095544 0.546484868694309
CDH12P3 4.2360922767649 -0.286573330658615 0.552409171787764 0.423362194506197 0.588288584268383
NAIPP2 14.1245792312124 1.20053491201758 0.37285370055423 0.000296598772301017 0.00207902828843061
SMN2 4.43309922304978 1.14053212814852 0.603429802305901 0.0124151952922413 0.0434830181799069
SERF1B 0.933215741691567 0.12376646386508 0.593928485726277 0.686715060445678 0.802489870818682
GUSBP15 62.0631930363453 0.894423009813078 0.326221679000934 0.00238187544099573 0.0116293007464948
FRG1 0.984464457187945 -0.675453855454922 1.11580743661477 0.0644645518107449 0.154853755816559
LINC01881 66.4334260954914 0.180638578762561 0.241644098439847 0.424346614374478 0.589050305319516
LINC01237 15.7310405561482 0.0163132188026457 0.355097122919688 0.958179074673903 0.976530100570482
OR2G6 1.24423445957793 3.26718792648884 2.51649270487406 0.011762241418485 0.0416903569862059
APOBEC3A_B 13.118663830397 1.25650586971851 0.734597282590822 0.0141882875161659 0.048355333170081
NCF4 352.368518770622 -1.00482036801637 0.331154118905255 0.000636826200732233 0.00393906713823118
NCF4.AS1 3.12412743302915 0.472826782215381 0.697689567369326 0.195509377427655 0.347131162943507
RPL41P3 0.889086555019635 -0.280050364893338 0.65992821642413 0.389928425539975 0.557601729405738
RBFOX2 0.919723801180858 0.372795223931182 0.71751972221464 0.236684331924178 0.397328948627785
CABIN1 1986.60654974936 -0.086005148122481 0.22913328402126 0.688829128005301 0.804002619060964
GSTTP2 1.14437501812745 1.17871650996651 1.68727721775858 0.0340230204439743 0.095446076343663
GSTT1 35.4497091213801 0.18559696586294 0.613682447875031 0.549720594842771 0.69806625024551
GSTT1.AS1 2.44197870293959 0.269670518931657 0.618695922425947 0.42399113729006 0.588825704703042
C22orf15 3.1107952036338 0.324562616223011 0.54607731037661 0.363266822724566 0.531220018622372
IGLV5.39 1.57519667491236 0.52377041713953 0.841725321334686 0.128773672035089 0.257665203920109
IGLV5.45 4.78503289456702 0.674201677830478 0.661758601804195 0.113347525719778 0.234881858510501
LSS 104.359712081711 -0.349238743382638 0.302633862018163 0.193368835698881 0.344393440818651
SPATC1L 0.986134114670298 -0.423891026975543 0.794114378368893 0.173878860488458 0.318770620377246
FTCD 2.65909694006789 -0.17364610170266 0.556376134651575 0.613255564600575 0.747949408831116
GART 266.097814127153 0.172128855646952 0.182659676991408 0.328318338127214 0.495697203600631
TMEM50B 15.3372237744852 -0.528508328060993 0.346179205557833 0.0794131691770657 0.180995213816565
IFNGR2 377.612612316013 -0.397321319191556 0.334638798527049 0.168458871683135 0.311524941019853
PAXBP1 796.020490387186 -0.601951144841112 0.247770480261904 0.00846235573797141 0.0322756491876363
BTG3 242.599700617286 -0.64180457212205 0.409389699771987 0.0532970361628638 0.134407636935348
PCMTD2 161.603283418637 -0.370221244414502 0.43302188679915 0.271962381057886 0.436954624435034
OPRL1 23.7450049998859 -0.170316207151075 0.380208030417791 0.585534814107316 0.727195403722151
TAF4 115.912579606585 -0.646495284302321 0.180099335200476 0.000186028869243704 0.00141804851443719
CDH4 2.63652289479104 0.132930061778743 0.514181836751143 0.701099947092421 0.813731527040481
TPM3P5 20.9334313094911 -0.605343944388817 0.352933950075386 0.0457702155461738 0.119745783690611
PLEKHA3P1 2.57815731455697 0.0974675486813859 0.526767408927748 0.769170187197835 0.859666697682924
CEACAM21 7.62117519063767 -0.390705072896793 0.457963329905778 0.266831003721865 0.43107250474594
CEACAM4 18.2127858712777 -2.03239487697112 0.586302812273799 4.46422849287525e-05 0.000429942569653034
GPI 1265.28577869315 0.0568112298291463 0.202613433055785 0.770219546953655 0.859986707635383
GARRE1 295.096805462371 -0.141136447931827 0.193046162939476 0.444997598148444 0.607350324055518
LSM14A 101.181952082085 -0.420910119789078 0.330703035544244 0.14344585636319 0.278286743438819
ZNF43 186.125902044662 1.85620547838992 0.312632269514612 4.81261820950255e-10 2.40213377388458e-08
ZNF100 1.32208343263789 0.5553499751343 0.755902265856467 0.150517381248936 0.287766592817161
ZNF430 238.182464324639 0.721130720650907 0.275657306937485 0.00459329435461367 0.0198298975475047
ZNF85 1.06694822178888 -0.146956892750562 0.620626021155856 0.592247470874638 0.731798689213888
ZNF66 56.0397106975646 -0.21665770934294 0.309753294013415 0.428094063077545 0.592453782806944
