SRR15058638 SRR15058641 SRR15058644 SRR15058645 SRR15058646 SRR15058649 SRR15058619 SRR15058622 SRR15058623 SRR15058624 SRR15058625 SRR15058626 SRR15058627 SRR15058629 SRR15058634 SRR15058636
COX1 31469 21148 19424 217251 28455 24368 201580 174612 212421 214804 143035 105051 152173 112313 130160 103997
TRNY 0 3 4 146 4 4 106 82 92 77 92 57 76 76 20 16
TRNC 6 1 5 466 21 7 484 419 353 386 391 225 261 243 28 26
TRNN 4 1 0 425 7 0 360 309 344 390 332 226 198 209 34 10
TRNA 0 1 0 20 9 0 5 5 8 7 4 4 4 9 2 0
TRNW 0 0 0 19 0 0 6 1 7 4 3 2 6 5 1 1
ND2 4020 4169 869 175391 3617 1463 111176 75685 87519 99606 51680 53545 71450 73017 64929 37471
TRNM 26 3 23 97 41 5 43 27 33 32 11 22 43 58 23 8
TRNQ 0 0 0 23 0 0 8 6 9 9 2 7 5 16 3 0
TRNI 0 1 0 25 2 0 9 2 7 3 2 5 5 8 1 1
ND1 8389 8013 2924 258116 5376 3256 107946 76710 90428 108610 51413 42162 68731 80174 83230 48646
TRNL1 0 1 0 286 7 1 130 74 97 96 42 43 56 105 27 13
RNR2 46 27 48 869914 464 28 435429 219302 295263 269856 163478 200112 277048 365314 352048 207421
TRNV 8 1 22 136 18 1 82 31 58 41 17 19 29 53 30 7
RNR1 11 7 11 364816 84 12 126514 84554 94619 87252 48649 56763 89792 100477 145830 100430
TRNF 6 1 2 521 4 1 200 56 137 81 30 32 150 182 78 59
LILRP2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
KIR3DL3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
KIR2DS2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
KIR2DL2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
KIR3DP1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
KIR2DL4 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
KIR3DS1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
KIR2DL5A 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
KIR2DS5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
KIR2DS1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
KIR3DL2 1 1 0 2 0 3 1 253 8 3 1 2 0 0 5 4
KIR2DL3 0 0 0 0 0 0 0 1 2 2 0 1 4 0 0 0
KIR2DP1 1 0 0 8 0 3 8 4 2 20 1 17 2 1 17 5
LOC101928804 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
KIR2DL1 1 0 0 5 0 3 0 4 3 14 0 14 8 1 17 17
KIR3DL1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 2 1
KIR2DS4 0 0 0 0 0 4 1 0 0 0 0 2 0 0 1 0
RNU6.222P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
KIR2DL5B 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
NCR1 4 1 4 1 1 4 5 6 5 3 7 4 3 1 1 5
FCAR 4 6 466 5 16 3 25 22 49 71 130 5 32 20 8 59
LOC102725023 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
KIR2DS3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
EPS8L1 13 9 24 23 4 17 14 25 32 16 18 21 8 12 19 25
RDH13 0 0 0 0 0 0 1 1 1 0 0 0 1 1 1 1
GP6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
GP6.AS1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
RPL36AP50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
NLRP2 0 1 3 7 0 4 2 5 2 0 2 18 3 0 2 1
NLRP7 0 0 4 0 2 2 2 2 3 0 1 1 8 0 1 2
LILRP1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
LILRB4 39 4 4 3 35 18 8 7 6 39 7 33 28 1 1 16
VN1R105P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MIR8061 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LILRB1 201 177 138 9 105 109 70 168 148 161 195 77 103 81 67 54
LILRA1 40 39 33 5 25 28 20 75 50 103 11 36 18 25 45 1
LILRA2 6 7 22 3 4 10 7 0 8 13 41 8 8 22 7 20
LOC107985347 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105372461 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
KIR3DX1 10 5 20 11 1 18 7 60 39 8 15 17 56 17 34 29
LOC105372460 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LAIR2 5 2 3 1 0 0 8 2 0 0 0 2 1 1 1 3
CDC42EP5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LENG9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LENG8 50 25 63 120 19 72 159 176 74 200 71 110 113 131 223 127
LENG8.AS1 1 0 9 0 5 6 10 25 0 29 0 6 1 21 7 0
TTYH1 0 0 0 0 0 0 0 3 0 3 0 0 0 1 0 0
LAIR1 50 53 34 34 80 32 42 62 72 15 95 33 76 20 64 71
LILRA4 6 1 4 0 4 13 7 1 4 10 23 5 1 4 5 4
VN1R104P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LILRA5 0 0 2 0 0 0 0 0 1 1 1 0 0 0 0 0
LILRA3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
MIR4752 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LILRB2 582 421 1050 74 76 189 452 353 633 658 503 391 144 631 829 565
LOC100420187 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RNU6.1307P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LILRB5 1 3 1 0 0 3 2 2 1 1 1 3 0 0 0 2
LOC107987463 2 3 1 1 0 1 0 0 1 0 1 0 0 11 0 0
LILRA6 37 39 171 4 50 17 69 113 81 141 64 42 69 18 43 28
LOC100421130 6 3 14 1 0 3 0 0 0 0 1 0 2 6 2 6
LOC107985279 0 0 0 0 1 0 1 1 0 0 2 0 0 2 0 0
LOC107987462 0 0 0 0 117 0 154 5 257 0 512 218 0 1 0 2
LOC124905654 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
RPS9 103 62 174 64 69 56 133 97 20 29 201 104 96 275 127 214
TSEN34 0 0 0 0 2 0 1 0 0 4 0 0 0 0 0 0
MBOAT7 25 8 58 17 36 8 37 19 40 57 89 29 22 6 11 27
TMC4 1 0 0 2 1 0 5 0 6 0 1 2 3 2 0 3
LENG1 0 2 0 0 0 2 1 0 0 0 1 0 0 0 0 0
LOC102724273 0 0 0 0 2 0 2 0 0 0 0 0 0 0 1 0
CNOT3 54 23 146 85 42 57 142 182 127 76 138 88 68 44 60 85
PRPF31.AS1 1 0 0 3 0 0 4 6 4 8 6 3 4 0 1 5
PRPF31 10 0 10 51 6 13 53 21 32 48 47 21 16 2 2 32
LOC124905653 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TFPT 1 0 6 12 0 1 8 4 3 9 4 7 5 0 8 5
NDUFA3 0 0 0 0 1 0 1 2 0 0 1 0 0 0 0 0
OSCAR 38 22 166 28 4 35 51 41 119 2 190 47 47 2 34 42
TARM1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
VSTM1 6 2 13 2 2 1 1 7 3 8 25 0 8 4 4 14
LOC107987461 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 2
LOC124905651 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0
LOC124905652 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HCG23 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0
BTNL2 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 0
TSBP1.AS1 0 0 0 0 0 2 1 0 1 0 1 0 0 0 1 0
HLA.DRA 81 80 33 1750 810 124 401 186 2102 270 3553 131 292 226 374 204
LOC102724290 3 0 0 3 6 3 0 1 0 1 3 1 3 1 3 0
LOC102725035 191 85 1275 21 88 99 120 0 35 54 11 114 107 212 115 222
LOC124905402 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ZBTB9 3 1 8 14 3 6 11 6 13 17 4 11 13 4 10 11
MIR5004 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SYNGAP1.AS1 0 0 2 0 0 0 0 1 1 0 0 0 0 0 0 1
SYNGAP1 47 20 21 45 8 61 116 59 115 96 85 62 77 60 63 59
CUTA 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
PHF1 199 70 165 1126 72 103 477 371 439 546 503 562 441 875 506 442
RPL12P1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
KIFC1 0 1 0 6 0 0 0 2 0 0 2 2 0 1 0 3
RPL35AP4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SMIM40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RPS18 1 1 2 27 1 0 9 0 4 8 2 3 28 4 4 29
VPS52 13 7 4 59 3 3 13 3 10 8 8 7 30 2 9 22
HCG25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ZNF70P1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
COL11A2 0 0 1 0 0 0 1 1 0 2 2 0 0 1 0 0
HLA.DPA3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HLA.DPB2 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
COL11A2P1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
HLA.DPA2 2 1 0 3 0 6 4 0 2 6 3 1 1 1 0 0
RPL32P1 58 23 14 35 16 15 17 30 117 153 165 28 70 110 1 38
HLA.DPB1 2568 1129 1040 4592 74 1572 6836 2490 3932 6633 8699 712 3341 4043 977 2714
HLA.DPA1 7 2 4 2 2 0 19 1 15 27 21 7 15 8 9 10
HLA.DOA 5 10 0 37 34 0 85 12 83 104 17 47 71 18 3 16
BRD2 104 59 274 318 79 213 322 548 285 370 749 269 624 714 750 202
HLA.DMA 88 134 52 5 6 3 226 11 227 261 335 113 5 307 6 210
HLA.DMB 5 2 1 4 2 4 11 7 6 5 10 4 11 8 2 4
HLA.Z 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC100294145 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PPP1R2P1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0
PSMB9 0 4 2 1 0 1 1 1 0 0 3 0 1 0 0 0
TAP1 2 0 7 0 0 2 2 1 4 1 3 2 1 0 60 2
PSMB8.AS1 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0
PSMB8 0 32 1 1 0 1 0 2 1 0 157 2 0 96 1 1
TAP2 20 171 18 13 63 192 64 23 184 303 612 16 294 13 148 7
HLA.DOB 22 0 3 54 3 16 30 3 33 3 36 2 42 7 13 14
HLA.DQB2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
MIR3135B 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HLA.DQA2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC102725019 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HLA.DQB1 527 562 90 988 805 2198 2343 4071 5076 2167 2732 374 4539 1610 6605 1175
HLA.DQA1 391 100 107 4 497 721 448 1454 954 402 629 182 1222 289 1005 21
HLA.DRB1 470 399 172 73 205 9708 887 7975 442 1062 13027 296 5859 562 12018 300
FAM8A5P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HLA.DRB7 5 3 2 2 0 6 3 8 2 8 15 6 0 13 0 1
LOC100294316 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PRKRAP1 1 5 1 6 0 0 6 5 2 3 3 5 2 8 5 3
HLA.DRB8 0 0 0 0 0 0 0 0 2 3 0 0 0 1 0 0
HLA.DRB4 17 14 3 26 6 10 28 12 8 19 26 21 0 19 5 17
HLA.DRB9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RNU6.603P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HNRNPA1P2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TSBP1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
NOTCH4 1 1 5 1 0 1 1 0 0 0 0 0 0 2 0 1
GPSM3 2 3 3 609 1 34 348 3 8 4 6 5 492 637 2 229
PBX2 14 7 18 28 39 3 10 47 51 25 141 46 26 21 2 2
AGER 4 0 4 70 6 9 11 0 5 4 1 1 0 0 3 3
MIR6833 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RNF5 0 0 1 256 1 0 1 4 0 0 0 2 0 2 0 0
MIR6721 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
AGPAT1 0 1 53 0 25 20 46 48 2 47 0 1 46 21 26 13
EGFL8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PPT2.EGFL8 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
PPT2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC100507547 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0
PRRT1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TNXB 0 0 2 6 0 0 0 0 0 1 2 3 0 0 0 0
CYP21A2 0 0 3 0 0 1 0 1 1 1 1 0 0 0 1 0
C4B 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
STK19B 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
TNXA 0 0 0 8 0 0 0 0 0 3 0 0 0 0 1 0
CYP21A1P 0 0 0 4 1 0 0 0 0 0 0 0 0 1 2 0
C4B_2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
STK19 1 0 14 7 0 0 1 23 0 0 1 5 5 0 0 5
DXO 2 0 13 69 2 2 16 46 14 37 25 29 10 14 12 19
SKIV2L 31 7 19 60 4 22 26 21 15 20 24 19 14 28 19 25
MIR1236 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
NELFE 4 5 12 5 0 0 19 16 7 7 7 10 7 13 9 4
CFB 0 0 6 0 0 1 0 1 0 0 0 0 0 0 0 0
C2.AS1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
C2 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0
EHMT2 0 0 0 13 0 0 0 2 0 5 2 3 0 0 0 3
EHMT2.AS1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0
SLC44A4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
NEU1 1 0 1 0 0 2 0 2 0 0 0 0 1 0 0 0
VARS1 0 1 2 3 0 2 7 5 5 11 4 5 7 2 1 2
VWA7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SAPCD1.AS1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SAPCD1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RNU6.850P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MSH5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MSH5.SAPCD1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
CLIC1 0 0 9 0 1 0 0 0 0 0 0 1 0 0 0 1
DDAH2 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0
MPIG6B 1 1 3 66 0 0 2 2 1 3 0 0 1 1 4 1
LY6G6C 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
LY6G6D 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LY6G6E 0 0 0 3 0 2 6 2 2 1 1 2 1 1 0 1
LY6G6F 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LY6G6F.LY6G6D 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MIR4646 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105375018 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ABHD16A 0 1 2 0 0 0 4 1 0 0 2 0 0 1 0 0
LOC105375019 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
LY6G5C 0 0 0 0 0 0 0 0 1 0 2 2 2 1 0 0
LY6G5B 0 8 1 7 0 6 0 54 2 141 3 25 54 4 52 1
CSNK2B 1 8 1 1 1 6 0 43 0 100 0 27 32 0 12 0
GPANK1 23 14 15 21 3 27 1 3 3 2 11 0 1 2 1 2
C6orf47 46 11 36 9 14 14 0 0 0 1 19 1 0 0 0 0
APOM 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BAG6 5 7 2 7 2 20 12 27 14 34 4 8 11 19 12 1
MIR6832 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SNORA38 0 1 0 5 4 0 0 1 0 2 1 0 0 2 0 0
PRRC2A 133 51 77 75 21 126 21 104 20 217 117 80 107 45 86 9
AIF1 50 24 18 48 27 37 0 18 0 66 44 22 16 2 15 0
UQCRHP1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
NCR3 3 2 1 4 0 1 9 4 34 10 5 7 3 2 26 9
LST1 18 3 32 4 18 9 17 4 40 46 104 15 23 63 16 14
LTB 0 0 0 34 4 0 0 4 1 0 9 0 0 0 0 0
TNF 0 0 0 7 0 0 1 2 0 0 0 0 0 1 3 0
LTA 13 1 7 0 7 1 7 2 14 11 11 23 9 30 36 26
LOC100287329 1 0 0 0 0 0 0 0 2 0 1 0 0 0 2 0
NFKBIL1 0 2 0 0 0 1 1 0 7 19 2 2 0 0 7 4
ATP6V1G2 0 2 2 0 1 3 1 0 0 0 2 2 3 2 0 1
DDX39B.AS1 1 0 0 0 0 3 2 1 1 1 1 1 0 0 0 1
SNORD84 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
SNORD117 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
DDX39B 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ATP6V1G2.DDX39B 0 0 0 0 0 1 0 0 2 0 2 0 1 0 4 1
MCCD1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
RPL15P4 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
PPIAP9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MICB 7 2 29 30 8 13 3 37 19 2 3 21 1 1 15 0
MICB.DT 3 0 28 8 8 8 1 24 2 2 3 16 1 0 3 1
HCG26 20 2 21 23 0 11 90 0 29 13 23 13 74 5 10 49
HCP5 11 4 96 5 9 3 11 1 7 19 14 18 3 8 12 3
HLA.X 0 0 1 2 0 0 0 0 0 0 1 0 0 1 0 1
LINC01149 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MICA 32 19 129 146 12 43 69 133 22 46 61 73 56 21 29 68
MICA.AS1 10 4 14 14 6 19 39 40 23 35 15 26 32 23 10 33
LOC124901300 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105379664 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RNU6.283P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
DHFRP2 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0
MIR6891 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HLA.B 32169 21293 58712 63768 9252 24754 46025 49918 51909 56634 77227 38787 41374 73282 60912 46731
LINC02571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
WASF5P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RPL3P2 2 2 5 40 3 43 18 9 115 17 49 18 14 18 17 93
USP8P1 0 1 1 2 0 0 1 0 3 2 2 3 0 1 1 0
HLA.C 32004 19885 70882 49845 9735 7178 16379 26664 42445 56315 55012 40239 31668 11322 49852 24773
HCG27 31 16 258 15 4 23 26 17 39 65 45 73 43 1 33 2
PSORS1C3 1 5 3 0 1 1 0 0 1 3 2 0 4 0 4 0
POU5F1 0 0 3 2 1 11 2 0 2 0 1 0 5 3 0 2
TCF19 0 0 5 12 0 18 10 0 0 2 1 1 16 5 0 10
RNU6.1133P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HCG22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MUC22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LINC00243 2 0 0 3 0 2 6 2 12 9 6 2 4 2 1 1
HCG20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RN7SL353P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
IER3 0 0 4 0 1 0 0 2 0 7 0 0 0 14 2 2
IER3.AS1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
FLOT1 16 21 44 46 55 27 37 34 39 50 72 33 34 50 15 25
TUBB 2 1 58 12 33 0 74 44 5 7 114 42 2 1 1 0
MDC1.AS1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MDC1 9 3 12 12 1 5 22 24 25 17 9 8 25 11 10 8
LOC107987457 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
DHX16 6 5 4 4 0 7 9 9 6 14 9 6 8 6 4 4
C6orf136 7 5 12 20 5 6 15 21 14 12 9 10 13 3 21 7
PTMAP1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ATAT1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
MRPS18B 3 2 2 13 1 0 0 2 1 0 4 3 1 2 0 7
PPP1R10 4 3 1 1 0 2 1 1 1 0 5 0 1 5 2 0
MIR877 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ABCF1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
PRR3 2 1 1 9 0 2 11 5 8 6 9 10 7 5 8 4
GNL1 2 1 4 1 4 0 6 0 5 5 6 6 0 2 1 3
LINC02569 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HLA.E 5 5 1 5 0 0 8 5 6 9 6 3 3 1 2 7
RANP1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SUCLA2P1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105375012 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MICC 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
UBQLN1P1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HLA.N 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RPP21 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0
TRIM39.RPP21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TRIM39 0 0 0 0 0 0 1 3 1 2 0 0 1 0 0 0
HCG18 46 16 1 0 3 25 11 84 13 54 40 4 34 41 11 8
HLA.L 11 1 2 1 0 4 0 27 4 16 8 1 4 38 9 48
HCG17 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
PAIP1P1 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0
TRIM26 13 10 15 21 1 10 20 17 12 27 11 14 19 16 12 13
TRIM15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TRIM10 1 0 3 9 1 0 2 12 0 1 2 0 0 2 3 2
TRIM40 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0
LOC124900227 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TRIM31.AS1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TRIM31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
RNF39 0 0 27 14 0 0 1 0 0 0 0 14 0 4 0 0
PPP1R11 3 1 117 78 0 2 5 3 4 4 4 68 2 4 0 3
POLR1H 1 0 34 74 0 1 1 0 1 0 1 16 0 0 1 4
ETF1P1 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0
HLA.J 0 2 2 1 0 0 2 2 1 1 4 4 1 0 3 0
HCG4P3 0 0 2 0 0 2 2 0 1 2 4 1 0 0 2 1
ZNRD1ASP 4 0 2 0 2 3 7 4 6 5 2 7 0 1 1 0
LOC353007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MCCD1P2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
DDX39BP2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HCG9 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 1
MICD 2 0 2 0 0 4 1 6 3 2 5 2 0 3 0 0
HLA.A 2048 3084 27332 21936 757 3630 6677 12343 13345 6649 8427 12546 5709 11749 3635 2787
HLA.K 76 35 55 67 26 46 105 62 24 98 91 34 74 54 262 163
HCG4B 6 0 11 1 4 7 3 8 1 8 3 1 2 9 4 9
LOC353008 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MCCD1P1 0 0 0 0 0 0 0 2 4 0 0 0 2 0 0 0
DDX39BP1 0 0 0 0 0 0 0 6 1 4 0 1 1 2 0 0
HLA.H 10 12 252 753 5 8 31 268 519 125 53 234 187 232 18 17
HCP5B 0 0 4 5 0 0 0 1 1 0 0 1 0 2 0 0
MICF 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LOC105375010 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
HCGVIII.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HLA.G 0 0 0 0 0 0 1 0 2 0 0 0 0 1 0 0
MICG 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
